year,yellow,green,fhv,fhvhv
2012,171359008,,,
2013,171816340,,,
2014,165447580,15837009.0,,
2015,146039232,19233765.0,63388532.0,
2016,131131805,16385541.0,132114083.0,
2017,113500386,11736906.0,192309557.0,
2018,102870524,8899314.0,260874754.0,
2019,84597309,6300814.0,43261276.0,234630264.0
2020,24649266,1734166.0,14945465.0,143309871.0
2021,30903983,1068729.0,14805265.0,174596652.0
2022,39655622,840394.0,14511664.0,212416083.0
2023,38310138,787055.0,15858639.0,232490020.0
2024,41169691,660204.0,17630326.0,239470448.0
2025,48722584,591369.0,24860987.0,243589684.0
2026,7124754,77655.0,3890251.0,40816059.0
