group,fare_amount_mean,tip_amount_mean,trip_distance_mean,fare_amount_mean_of_stds,tip_amount_mean_of_stds,trip_distance_mean_of_stds
61,20.752,0.601,3.932,0.475,0.042,0.129
79,20.512,1.306,3.797,0.796,0.12,0.189
132,50.537,3.924,16.357,1.441,0.317,0.454
138,38.869,3.658,10.836,1.217,0.299,0.331
161,20.516,1.763,3.808,0.945,0.144,0.215
170,18.426,1.52,3.701,0.569,0.093,0.147
234,19.265,1.439,3.517,0.638,0.1,0.15
236,16.732,1.707,3.319,0.635,0.108,0.149
237,16.441,1.637,3.074,0.71,0.117,0.16
265,43.541,0.454,9.123,1.698,0.002,0.505
