group_value,total_events,trip_distance_mean,fare_amount_mean,tip_amount_mean,trip_distance_std,fare_amount_std,tip_amount_std
79,161283.0,3.797,20.512,1.306,0.189,0.796,0.12
132,154725.0,16.357,50.537,3.924,0.454,1.441,0.317
237,146250.0,3.074,16.441,1.637,0.16,0.71,0.117
61,134504.0,3.932,20.752,0.601,0.129,0.475,0.042
236,133879.0,3.319,16.732,1.707,0.149,0.635,0.108
138,133842.0,10.836,38.869,3.658,0.331,1.217,0.299
161,132734.0,3.808,20.516,1.763,0.215,0.945,0.144
234,130114.0,3.517,19.265,1.439,0.15,0.638,0.1
170,127421.0,3.701,18.426,1.52,0.147,0.569,0.093
265,5168.0,9.123,43.541,0.454,0.505,1.698,0.002
