Model,Algorithm,Workers,RMSE,MAE,R²,Time (s),Mem Δ (GB)
Dask-ML LR (unified),Dask-ML LinearRegression,8,99.89406586870537,51.24795563114917,0.0176518194564923,17.133507251739502,2.4942919680000006
XGBoost (unified),XGBoost/Dask,8,46.682889000706695,17.834474181693775,0.7854633402291415,78.51803207397461,1.4308761600000004
SGD partial_fit (unified),SGDRegressor+partial_fit,1,104.88629992793999,54.706529920413374,-0.08298787702863653,24.068011045455933,1.6420003839999993
XGBoost (yellow),XGBoost/Dask,8,32.63822033986341,12.330061106086658,0.8120995359911668,6.117880821228027,0.40048230399999873
XGBoost (green),XGBoost/Dask,8,2.5982664914007922,1.3001752473511765,0.789567843090082,3.066969156265259,0.0
XGBoost (fhv),XGBoost/Dask,8,2.611602800156283,1.5573254483722327,0.35972551977361,6.113353729248047,0.43987353600000034
XGBoost (fhvhv),XGBoost/Dask,8,55.88201202482997,25.816937196293537,0.7758192064703558,10.132164716720581,1.184944127999998
XGBoost (4 separate — aggregated),XGBoost/Dask separate,8,41.8417797979117,15.708315265213436,0.8276519539288905,,
XGBoost (no augmentation),XGBoost/Dask,8,68.06628551644093,28.82407856957271,0.5439104022063781,16.06770133972168,1.6591011840000007
