date,Uber,Lyft,Via,Juno
2019-01-01,0.0,0.0,0.0,0.0
2019-02-01,13504994.0,4690916.0,983926.0,979266.0
2019-03-01,17248340.0,4699040.0,1082003.0,835215.0
2019-04-01,15657454.0,4290694.0,1046142.0,740532.0
2019-05-01,15876126.0,4681802.0,1029266.0,742053.0
2019-06-01,14397173.0,4999262.0,930716.0,674839.0
2019-07-01,14043151.0,4682351.0,919798.0,658012.0
2019-08-01,13926310.0,4698486.0,881654.0,619663.0
2019-09-01,13964852.0,4611514.0,866974.0,625981.0
2019-10-01,14509894.0,5346315.0,898587.0,407494.0
2019-11-01,15611001.0,5144737.0,773951.0,105879.0
2019-12-01,16105724.0,5430612.0,707565.0,0.0
2020-01-01,14582520.0,5274248.0,712600.0,0.0
2020-02-01,15743610.0,5339549.0,641941.0,0.0
2020-03-01,9836781.0,3219541.0,336606.0,0.0
2020-04-01,3102835.0,1144083.0,65991.0,0.0
2020-05-01,4359377.0,1621495.0,109127.0,0.0
2020-06-01,5114308.0,2310860.0,130025.0,0.0
2020-07-01,7081522.0,2716099.0,160833.0,0.0
2020-08-01,7856499.0,3072675.0,167678.0,0.0
2020-09-01,8847755.0,3116906.0,142008.0,0.0
2020-10-01,9797775.0,3323082.0,147554.0,0.0
2020-11-01,8375281.0,3090686.0,130898.0,0.0
2020-12-01,8486416.0,3023412.0,127295.0,0.0
2021-01-01,8704128.0,3094325.0,110015.0,0.0
2021-02-01,8290758.0,3237166.0,86018.0,0.0
2021-03-01,10173376.0,3946703.0,107314.0,0.0
2021-04-01,10238382.0,3768879.0,104110.0,0.0
2021-05-01,10808415.0,3814434.0,96322.0,0.0
2021-06-01,10747390.0,4130660.0,83842.0,0.0
2021-07-01,10704366.0,4229852.0,92956.0,0.0
2021-08-01,10196747.0,4209240.0,93709.0,0.0
2021-09-01,10557442.0,4240481.0,88132.0,0.0
2021-10-01,12086389.0,4429566.0,29401.0,0.0
2021-11-01,11819597.0,4222042.0,0.0,0.0
2021-12-01,11802074.0,4252421.0,0.0,0.0
2022-01-01,10826336.0,3925255.0,0.0,0.0
2022-02-01,11440898.0,4578385.0,0.0,0.0
2022-03-01,13136268.0,5317280.0,0.0,0.0
2022-04-01,13010980.0,4741581.0,0.0,0.0
2022-05-01,13325434.0,4831901.0,0.0,0.0
2022-06-01,13049858.0,4730217.0,0.0,0.0
2022-07-01,12575713.0,4888906.0,0.0,0.0
2022-08-01,12500703.0,4684984.0,0.0,0.0
2022-09-01,12902315.0,4891236.0,0.0,0.0
2022-10-01,14102892.0,5203198.0,0.0,0.0
2022-11-01,12968005.0,5117891.0,0.0,0.0
2022-12-01,14007908.0,5657939.0,0.0,0.0
2023-01-01,13580152.0,4898879.0,0.0,0.0
2023-02-01,13280939.0,4680032.0,0.0,0.0
2023-03-01,14553368.0,5860171.0,0.0,0.0
2023-04-01,13998413.0,5146490.0,0.0,0.0
2023-05-01,14277828.0,5569848.0,0.0,0.0
2023-06-01,13811993.0,5554626.0,0.0,0.0
2023-07-01,13731861.0,5400270.0,0.0,0.0
2023-08-01,13143169.0,5178981.0,0.0,0.0
2023-09-01,14311606.0,5539517.0,0.0,0.0
2023-10-01,14375602.0,5810728.0,0.0,0.0
2023-11-01,13788773.0,5480477.0,0.0,0.0
2023-12-01,14273626.0,6242671.0,0.0,0.0
2024-01-01,14432755.0,5231175.0,0.0,0.0
2024-02-01,14409305.0,4949843.0,0.0,0.0
2024-03-01,15621998.0,5658790.0,0.0,0.0
2024-04-01,14704197.0,5028841.0,0.0,0.0
2024-05-01,15538267.0,5166271.0,0.0,0.0
2024-06-01,15158032.0,4965194.0,0.0,0.0
2024-07-01,14328764.0,4854170.0,0.0,0.0
2024-08-01,14107392.0,5021000.0,0.0,0.0
2024-09-01,14621345.0,4588443.0,0.0,0.0
2024-10-01,15145313.0,4882969.0,0.0,0.0
2024-11-01,15126916.0,4860617.0,0.0,0.0
2024-12-01,15931514.0,5137337.0,0.0,0.0
2025-01-01,15356455.0,5049211.0,0.0,0.0
2025-02-01,14419623.0,4919838.0,0.0,0.0
2025-03-01,14547181.0,5989698.0,0.0,0.0
2025-04-01,14360522.0,5393461.0,0.0,0.0
2025-05-01,15038869.0,6052324.0,0.0,0.0
2025-06-01,14167361.0,5700648.0,0.0,0.0
2025-07-01,14141782.0,5511230.0,0.0,0.0
2025-08-01,13558357.0,5713104.0,0.0,0.0
2025-09-01,14047040.0,5387601.0,0.0,0.0
2025-10-01,15470172.0,5838529.0,0.0,0.0
2025-11-01,14908456.0,5909784.0,0.0,0.0
2025-12-01,15973728.0,6134710.0,0.0,0.0
