date,yellow,green,fhv,fhvhv
2019-01-01,7696473,672076,23159064,0.0
2019-02-01,7049209,615588,1707650,20159102.0
2019-03-01,7866420,643031,1475569,23864598.0
2019-04-01,7475969,567852,1937850,21734822.0
2019-05-01,7598549,545464,2073061,22329247.0
2019-06-01,6971350,506223,2009900,21001990.0
2019-07-01,6310376,470712,1947788,20303312.0
2019-08-01,6073089,449693,1880335,20126113.0
2019-09-01,6567633,449015,1248520,20069321.0
2019-10-01,7214110,476385,1897856,21162290.0
2019-11-01,6877817,449506,1879487,21635568.0
2019-12-01,6896314,455269,2044196,22243901.0
2020-01-01,6405286,447757,2028587,20569368.0
2020-02-01,6299580,398647,1913495,21725100.0
2020-03-01,3007389,223493,1441864,13392928.0
2020-04-01,238002,35642,566426,4312909.0
2020-05-01,348447,57361,774970,6089999.0
2020-06-01,549831,63111,1011867,7555193.0
2020-07-01,800437,72255,1127489,9958454.0
2020-08-01,1007286,81064,1184036,11096852.0
2020-09-01,1340897,87981,1271036,12106669.0
2020-10-01,1681267,95115,1254734,13268411.0
2020-11-01,1508915,88611,1206356,11596865.0
2020-12-01,1461929,83129,1164605,11637123.0
2021-01-01,1369764,76516,1154112,11908468.0
2021-02-01,1371696,64570,1037692,11613942.0
2021-03-01,1925130,83831,1302665,14227393.0
2021-04-01,2171218,86931,1267018,14111371.0
2021-05-01,2507077,88183,1263660,14719171.0
2021-06-01,2834205,86747,1311346,14961892.0
2021-07-01,2822113,83675,1240014,15027174.0
2021-08-01,2788300,83491,1203018,14499696.0
2021-09-01,2963779,95707,1179412,14886055.0
2021-10-01,3463485,110891,1277393,16545356.0
2021-11-01,3472897,108228,1228962,16041639.0
2021-12-01,3214319,99959,1339973,16054495.0
2022-01-01,2463936,62511,1143691,14751591.0
2022-02-01,2979429,69399,1251504,16019283.0
2022-03-01,3627891,78519,1380816,18453548.0
2022-04-01,3599902,76119,1246669,17752561.0
2022-05-01,3588292,76908,1255828,18157335.0
2022-06-01,3557692,73709,1195414,17780075.0
2022-07-01,3174363,64204,1159579,17464619.0
2022-08-01,3152694,65926,1151155,17185687.0
2022-09-01,3183784,69025,1160493,17793551.0
2022-10-01,3675384,69325,1174988,19306090.0
2022-11-01,3252670,62309,1106084,18085896.0
2022-12-01,3399585,72440,1285443,19665847.0
2023-01-01,3066731,68231,1114320,18479031.0
2023-02-01,2914003,64792,1110797,17960971.0
2023-03-01,3403660,72039,1328242,20413539.0
2023-04-01,3288249,65391,1246479,19144903.0
2023-05-01,3513664,69178,1385826,19847676.0
2023-06-01,3307259,65548,1219445,19366619.0
2023-07-01,2907093,61346,1370843,19132131.0
2023-08-01,2824201,60675,1440352,18322150.0
2023-09-01,2846741,65439,1293303,19851123.0
2023-10-01,3522269,66188,1628438,20186330.0
2023-11-01,3339731,64015,1343846,19269250.0
2023-12-01,3376537,64213,1376748,20516297.0
2024-01-01,2964623,56555,1290116,19663930.0
2024-02-01,3007533,53578,1176093,19359148.0
2024-03-01,3582611,57451,1469352,21280788.0
2024-04-01,3514295,56473,1444626,19733038.0
2024-05-01,3723843,61007,1352502,20704538.0
2024-06-01,3539170,54738,1386539,20123226.0
2024-07-01,3076876,51820,1382739,19182934.0
2024-08-01,2979192,51806,1484471,19128392.0
2024-09-01,3633025,54422,1718375,19209788.0
2024-10-01,3833780,56153,1421231,20028282.0
2024-11-01,3646372,52214,1591082,19987533.0
2024-12-01,3668371,53987,1913200,21068851.0
2025-01-01,3475236,48299,1711551,20405666.0
2025-02-01,3577543,46645,1578722,19339461.0
2025-03-01,4145231,51550,2182992,20536879.0
2025-04-01,3970568,52134,1699478,19753983.0
2025-05-01,4591844,55405,2210721,21091193.0
2025-06-01,4322949,49385,2231731,19868009.0
2025-07-01,3898971,48202,2187536,19653012.0
2025-08-01,3574080,46305,2256854,19271461.0
2025-09-01,4251019,48885,2149292,19434641.0
2025-10-01,4428708,49417,2446615,21308701.0
2025-11-01,4181432,46915,2278604,20818240.0
2025-12-01,4305003,48227,1926891,22108438.0
