hour,yellow,green,fhv,fhvhv
0,8861263,247959,3073643,56423943
1,5942700,172662,2163416,39724562
2,3985168,119263,1644964,28318967
3,2714711,98666,1527980,22188843
4,2051931,102427,2226460,21962469
5,2358166,108467,3083296,25981939
6,5378791,221323,4853159,40543482
7,9790213,435174,7885385,60540084
8,12952384,615733,10061900,74245369
9,13886974,689329,10765492,69853274
10,14669435,690830,10260904,64606316
11,15743970,683161,9557697,64245217
12,17031611,688498,9565470,66178230
13,17509439,678353,9435636,68828876
14,18679166,732842,9068760,74112651
15,19110162,782936,8353667,76567043
16,18810213,816769,7633329,78823710
17,20690707,836389,7195982,87067173
18,21901370,822245,6497433,91657196
19,19720051,700461,5803420,89494795
20,17508765,561477,5382891,84163947
21,17263449,487223,5033541,81924847
22,15973531,418880,4659347,80977968
23,12599177,349319,4030101,72888180
